9150213005,7438
21404911105,0173
91236015101,4894
25101409712,8407
08151539152,0831
10256109215,4099
77626484,5966
944214974,3320
13911855310,8818
149512510137,8354
621428934,2301
910121263152,6067
142111349210,0989
137281510211,5242
4712551509,7214
219420413,7272
829117101213,8116
03130611144,4610
1481911046,5187
02811411512,5833
1521501391310,9762
31414100855,5678
151033213117,4134
14811115131515,1075
1480943144,4457
31198912010,9243
1261215119615,9654
0411111515814,6610
013013851213,0931
7135111215127,7596
008625151,9857
91113101113124,4844
12310561139,8823
1113639101415,8463
3147130477,5052
61011152432,5613
1110015012132,8763
5101291310119,9377
1314141511179,9873
861364703,3120
13410115898,2740
14710141461311,0291
99430414,0575
801214122210,4390
871597879,8472
112671315214,1593
124242151010,4021
1414801112110,8956
83111242130,9982
11111029522,8310
1091410137124,0910
1121293273,9546
44601512137,5349
1015141310100,0950
64671160,2210
1410952165,9408
1514212156813,7383
4820130118,0060
7814134939,7245
712118129138,4149
14514513930,2040
047878113,0939
9442111427,4282
12101112111197,2363
76147150613,0982
221017452,7514
14128911538,6635
113127115014,5794
12126121514154,0682
05612122211,1384
1110715106108,4856
14081010131412,8439
271110132129,4443
14413515131213,1454
1112109101189,7089
113111584312,8828
13113111538,6925
3151637811,1542
711815715714,6836
410100157512,4335
09412111235,8464
15013232615,3908
40457939,7677
114126141148,7748
1451104124,3717
1015897130,5507
7051512083,0717
1380100815,6289
1412139411110,4783
499511271,1785
1516147433,6987
0149151415150,0860
1012411111125,1539
131351131423,0453
781111807,8590
411151468121,6767
501210741310,0493
9111312411141,7047
012131031415,8200
948221258,2000
